epoch,psnr,ssim,lpips,psnr_y,ssim_y,train_loss
1,16.9409,0.2953,0.5433,nan,nan,0.545657
1,16.7126,0.2873,0.5295,nan,nan,0.377530
1,16.1440,0.2770,0.5496,nan,nan,0.276790
1,16.4990,0.2945,0.5720,nan,nan,0.453826
1,16.4188,0.2823,0.5314,nan,nan,0.401212
1,16.5185,0.2860,0.5557,nan,nan,0.390789
1,16.8871,0.2904,0.5250,nan,nan,0.496799
1,16.2407,0.2588,0.5759,nan,nan,0.583226
1,16.7851,0.2891,0.5523,nan,nan,0.553178
1,16.6232,0.3006,0.4974,nan,nan,0.531849
1,16.2080,0.2970,0.5502,nan,nan,0.484589
1,16.8681,0.2809,0.5330,nan,nan,0.469920
1,16.4066,0.2989,0.5240,nan,nan,0.509665
1,16.0046,0.2784,0.5704,nan,nan,0.543780
1,16.2365,0.2849,0.5387,nan,nan,0.577925
1,15.8321,0.2671,0.5720,nan,nan,0.562854
1,16.5023,0.2848,0.5228,nan,nan,0.536766
1,16.2285,0.2799,0.5487,nan,nan,0.567242
1,16.3483,0.2810,0.5460,nan,nan,0.544963
1,15.7386,0.2727,0.5635,nan,nan,0.546139
1,16.8609,0.2944,0.5417,nan,nan,0.529524
1,16.5310,0.2830,0.5317,nan,nan,0.558385
1,16.3065,0.2953,0.5290,nan,nan,0.552965
1,16.6940,0.2956,0.5280,nan,nan,0.531302
1,16.0664,0.2811,0.5458,nan,nan,0.539449
1,16.6533,0.2876,0.5553,nan,nan,0.521701
1,16.7776,0.3034,0.5579,nan,nan,0.516667
1,16.9047,0.2965,0.5089,nan,nan,0.533382
1,16.2745,0.2704,0.5692,nan,nan,0.516537
1,16.4162,0.2720,0.5613,nan,nan,0.506973
1,16.5528,0.2887,0.5419,nan,nan,0.505690
1,16.9739,0.2837,0.5423,nan,nan,0.510746
1,16.8710,0.3056,0.5061,nan,nan,0.495866
1,16.6058,0.2876,0.5500,nan,nan,0.499450
1,16.3912,0.2674,0.5551,nan,nan,0.503817
1,16.5064,0.2845,0.5390,nan,nan,0.511422
1,15.9389,0.2761,0.5778,nan,nan,0.498162
1,16.5235,0.2660,0.5548,nan,nan,0.502283
1,16.2851,0.2596,0.5955,nan,nan,0.497238
1,17.0650,0.3010,0.5135,nan,nan,0.485437
1,15.9875,0.2653,0.5662,nan,nan,0.491976
1,16.3543,0.2739,0.5412,nan,nan,0.480553
1,16.0273,0.2772,0.5467,nan,nan,0.492032
1,17.3379,0.3205,0.5128,nan,nan,0.489375
