epoch,psnr,ssim,lpips,psnr_y,ssim_y,train_loss
1,9.8345,0.0811,0.9012,10.3127,0.0699,0.408605
2,9.0563,0.0792,0.8775,9.8274,0.0726,0.397294
3,9.5003,0.0969,0.8862,10.1390,0.0925,0.382913
4,9.7259,0.0927,0.8956,10.3797,0.0861,0.389302
5,9.1212,0.0966,0.8632,10.1061,0.0886,0.378720
6,9.1414,0.0825,0.8973,9.9422,0.0751,0.382764
7,8.8189,0.1122,0.8870,10.1724,0.0987,0.378085
8,9.0994,0.0740,0.8939,10.3134,0.0734,0.378111
9,9.1556,0.0916,0.8933,10.1994,0.0847,0.374866
10,9.7343,0.0955,0.8808,10.4497,0.0884,0.380234
